<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;1;29/04/21;102600;3601.9600000;3601.9600000;3600.7800000;3601.7500000;199220305
IMOEX;1;29/04/21;102700;3601.6600000;3602.6800000;3600.2000000;3601.9100000;426773239
IMOEX;1;29/04/21;102800;3602.3300000;3603.4900000;3602.3300000;3602.7200000;363395693
IMOEX;1;29/04/21;102900;3603.2900000;3603.2900000;3600.9000000;3600.9000000;393614160
IMOEX;1;29/04/21;103000;3599.6900000;3600.1300000;3598.7300000;3598.7300000;509460591
IMOEX;1;29/04/21;103100;3598.4800000;3598.6300000;3597.2200000;3597.7000000;473799010
IMOEX;1;29/04/21;103200;3597.5500000;3597.9700000;3597.0000000;3597.9700000;217075024
IMOEX;1;29/04/21;103300;3598.2800000;3598.6000000;3597.6900000;3598.6000000;116284700
IMOEX;1;29/04/21;103400;3598.7300000;3598.7300000;3597.6400000;3598.1600000;321584944
IMOEX;1;29/04/21;103500;3598.2700000;3598.2700000;3596.6500000;3596.7600000;279149562
IMOEX;1;29/04/21;103600;3596.6700000;3597.2400000;3596.6700000;3597.2400000;186501742
IMOEX;1;29/04/21;103700;3597.1500000;3597.5000000;3596.5900000;3596.9200000;155126658
IMOEX;1;29/04/21;103800;3597.1200000;3597.5400000;3596.7100000;3597.1100000;136413109
IMOEX;1;29/04/21;103900;3597.0400000;3597.0500000;3596.1600000;3596.2400000;325516192
IMOEX;1;29/04/21;104000;3596.2300000;3596.2500000;3593.8400000;3593.8400000;536954172
IMOEX;1;29/04/21;104100;3594.0500000;3594.6000000;3593.7700000;3593.7700000;478659423
IMOEX;1;29/04/21;104200;3593.7700000;3593.7700000;3591.9600000;3592.0500000;212860991
IMOEX;1;29/04/21;104300;3591.8500000;3593.3700000;3591.7400000;3593.1200000;227222079
IMOEX;1;29/04/21;104400;3593.1900000;3594.8000000;3592.8500000;3594.8000000;227688154
IMOEX;1;29/04/21;104500;3594.4600000;3595.3700000;3594.2000000;3594.2000000;414356802
IMOEX;1;29/04/21;104600;3594.3200000;3595.3600000;3594.3200000;3594.9800000;438235916
IMOEX;1;29/04/21;104700;3595.4600000;3595.4600000;3594.2500000;3594.8300000;581403421
IMOEX;1;29/04/21;104800;3594.6900000;3597.2600000;3594.6600000;3596.6900000;412954042
IMOEX;1;29/04/21;104900;3597.1800000;3597.1800000;3596.3000000;3596.7900000;130120054
IMOEX;1;29/04/21;105000;3596.3700000;3596.3700000;3595.8700000;3595.9500000;237035161
IMOEX;1;29/04/21;105100;3596.0500000;3598.0300000;3595.9600000;3598.0300000;225433619
