<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
NLMK;1;27/04/21;181600;271.0600000
NLMK;1;27/04/21;181700;270.9200000
NLMK;1;27/04/21;181800;270.8000000
NLMK;1;27/04/21;181900;270.7000000
NLMK;1;27/04/21;182000;270.8800000
NLMK;1;27/04/21;182100;270.9600000
NLMK;1;27/04/21;182200;270.7400000
NLMK;1;27/04/21;182300;270.6000000
NLMK;1;27/04/21;182400;270.8600000
NLMK;1;27/04/21;182500;270.9200000
NLMK;1;27/04/21;182600;270.5200000
NLMK;1;27/04/21;182700;270.5000000
NLMK;1;27/04/21;182800;270.3000000
NLMK;1;27/04/21;182900;270.4600000
NLMK;1;27/04/21;183000;270.3400000
NLMK;1;27/04/21;183100;270.3600000
NLMK;1;27/04/21;183200;270.2000000
NLMK;1;27/04/21;183300;270.1200000
NLMK;1;27/04/21;183400;270.0600000
NLMK;1;27/04/21;183500;270.1000000
NLMK;1;27/04/21;183600;270.1800000
NLMK;1;27/04/21;183700;269.9800000
NLMK;1;27/04/21;183800;269.8000000
NLMK;1;27/04/21;183900;269.6800000
NLMK;1;27/04/21;184000;270.0000000
NLMK;1;27/04/21;184600;270.9000000
NLMK;1;27/04/21;184700;270.9000000
NLMK;1;27/04/21;184800;270.9000000
NLMK;1;27/04/21;184900;270.9000000
NLMK;1;27/04/21;185000;270.9000000
NLMK;1;27/04/21;190500;270.9000000
NLMK;1;27/04/21;190600;270.9600000
NLMK;1;27/04/21;190700;271.0000000
NLMK;1;27/04/21;190800;270.9600000
NLMK;1;27/04/21;190900;270.9800000
NLMK;1;27/04/21;191000;271.0200000
NLMK;1;27/04/21;191100;271.0000000
NLMK;1;27/04/21;191200;271.0200000
NLMK;1;27/04/21;191300;271.3800000
NLMK;1;27/04/21;191400;271.6400000
NLMK;1;27/04/21;191500;271.6000000
NLMK;1;27/04/21;191600;271.5600000
NLMK;1;27/04/21;191700;271.4600000
NLMK;1;27/04/21;191800;271.3800000
NLMK;1;27/04/21;191900;271.3800000
NLMK;1;27/04/21;192000;271.3000000
NLMK;1;27/04/21;192100;271.4000000
NLMK;1;27/04/21;192200;271.4400000
NLMK;1;27/04/21;192300;271.4400000
NLMK;1;27/04/21;192400;271.4200000
NLMK;1;27/04/21;192500;271.4600000
NLMK;1;27/04/21;192600;271.5800000
NLMK;1;27/04/21;192700;271.6800000
